OTUID	TrophicMode
OTU21299	Symbiotroph
OTU21325	Symbiotroph
OTU21346	Symbiotroph
OTU21352	Symbiotroph
OTU2136	Symbiotroph
OTU21385	Symbiotroph
OTU21404	Symbiotroph
OTU21491	Symbiotroph
OTU21509	Symbiotroph
OTU21539	Saprotroph
OTU21645	Symbiotroph
OTU2166	Symbiotroph
OTU2168	Symbiotroph
OTU2183	Symbiotroph
OTU2195	Symbiotroph
OTU22	Symbiotroph
OTU2205	Symbiotroph
OTU2206	Symbiotroph
OTU223	Symbiotroph
OTU2240	Symbiotroph
OTU2253	Symbiotroph
OTU2279	Symbiotroph
OTU2289	Symbiotroph
OTU230	Pathotroph
OTU2303	Symbiotroph
OTU2313	Symbiotroph
OTU2328	Symbiotroph
OTU236	Symbiotroph
OTU2365	Symbiotroph
OTU237	Symbiotroph
OTU2377	Symbiotroph
OTU2405	Symbiotroph
OTU2410	Symbiotroph
OTU2430	Symbiotroph
OTU2439	Symbiotroph
OTU244	Symbiotroph
OTU2467	Saprotroph
OTU2468	Symbiotroph
OTU2480	Symbiotroph
OTU2492	Symbiotroph
OTU2502	Symbiotroph
OTU2509	Symbiotroph
OTU2515	Symbiotroph
OTU2526	Pathotroph
OTU2551	Symbiotroph
OTU2560	Saprotroph-Symbiotroph
OTU2570	Symbiotroph
OTU258	Symbiotroph
OTU2606	Saprotroph
OTU2615	Pathotroph-Symbiotroph
OTU2619	Symbiotroph
OTU263	Symbiotroph
OTU267	Symbiotroph
OTU2687	Symbiotroph
OTU27	Pathotroph
OTU2705	Symbiotroph
OTU272	Symbiotroph
OTU2742	Symbiotroph
OTU2762	Symbiotroph
OTU2768	Symbiotroph
OTU2771	Saprotroph
OTU2784	Symbiotroph
OTU280	Symbiotroph
OTU2800	Symbiotroph
OTU2808	Symbiotroph
OTU2812	Symbiotroph
OTU2835	Symbiotroph
OTU2836	Symbiotroph
OTU2852	Symbiotroph
OTU286	Symbiotroph
OTU2865	Symbiotroph
OTU2868	Symbiotroph
OTU288	Symbiotroph
OTU2905	Pathotroph-Saprotroph
OTU2914	Symbiotroph
OTU2935	Symbiotroph
OTU294	Symbiotroph
OTU2952	Symbiotroph
OTU297	Symbiotroph
OTU2984	Symbiotroph
OTU2998	Symbiotroph
OTU30	Symbiotroph
OTU300	Symbiotroph
OTU3002	Symbiotroph
OTU3006	Saprotroph
OTU301	Symbiotroph
OTU3018	Symbiotroph
OTU3022	Saprotroph
OTU3058	Symbiotroph
OTU3084	Symbiotroph
OTU3087	Symbiotroph
OTU3091	Symbiotroph
OTU3092	Symbiotroph
OTU31	Symbiotroph
OTU3137	Pathotroph-Symbiotroph
OTU3155	Symbiotroph
OTU3158	Symbiotroph
OTU3192	Pathotroph
OTU320	Symbiotroph
OTU3202	Pathotroph
OTU3211	Symbiotroph
OTU3216	Symbiotroph
OTU3240	Symbiotroph
OTU3262	Symbiotroph
OTU3269	Symbiotroph
OTU3307	Symbiotroph
OTU3309	Saprotroph
OTU3313	Symbiotroph
OTU3387	Saprotroph
OTU339	Symbiotroph
OTU340	Saprotroph
OTU3435	Symbiotroph
OTU344	Symbiotroph
OTU3444	Saprotroph
OTU3449	Symbiotroph
OTU3474	Symbiotroph
OTU3475	Symbiotroph
OTU3485	Saprotroph
OTU3486	Symbiotroph
OTU3498	Symbiotroph
OTU3509	Pathotroph
OTU351	Symbiotroph
OTU3515	Symbiotroph
OTU3516	Symbiotroph
OTU3519	Symbiotroph
OTU3530	Symbiotroph
OTU3533	Symbiotroph
OTU3546	Symbiotroph
OTU3548	Saprotroph
OTU356	Saprotroph
OTU3561	Symbiotroph
OTU3564	Symbiotroph
OTU3580	Symbiotroph
OTU3611	Symbiotroph
OTU3621	Symbiotroph
OTU3625	Saprotroph-Symbiotroph
OTU3628	Symbiotroph
OTU363	Symbiotroph
OTU3664	Symbiotroph
OTU368	Symbiotroph
OTU37	Symbiotroph
OTU3725	Saprotroph
OTU3755	Pathotroph
OTU3772	Pathotroph
OTU3782	Symbiotroph
OTU3787	Symbiotroph
OTU38	Symbiotroph
OTU381	Symbiotroph
OTU3817	Saprotroph
OTU3818	Symbiotroph
OTU3840	Symbiotroph
OTU3876	Symbiotroph
OTU3885	Symbiotroph
OTU389	Symbiotroph
OTU390	Symbiotroph
OTU3902	Symbiotroph
OTU3949	Saprotroph
OTU3965	Symbiotroph
OTU398	Symbiotroph
OTU4018	Symbiotroph
OTU402	Pathotroph
OTU4049	Symbiotroph
OTU4059	Symbiotroph
OTU406	Symbiotroph
OTU4062	Symbiotroph
OTU4075	Symbiotroph
OTU4078	Symbiotroph
OTU4081	Symbiotroph
OTU4106	Symbiotroph
OTU4110	Symbiotroph
OTU4145	Saprotroph
OTU4159	Symbiotroph
OTU4164	Symbiotroph
OTU4176	Symbiotroph
OTU418	Saprotroph
OTU421	Symbiotroph
OTU43	Symbiotroph
OTU4315	Symbiotroph
OTU433	Symbiotroph
OTU437	Symbiotroph
OTU4375	Symbiotroph
OTU4399	Symbiotroph
OTU44	Symbiotroph
OTU442	Symbiotroph
OTU4425	Saprotroph
OTU4429	Symbiotroph
OTU4431	Symbiotroph
OTU445	Symbiotroph
OTU4457	Symbiotroph
OTU4465	Symbiotroph
OTU4470	Symbiotroph
OTU4471	Symbiotroph
OTU4483	Saprotroph
OTU4512	Symbiotroph
OTU453	Saprotroph
OTU4536	Symbiotroph
OTU4549	Symbiotroph
OTU4552	Pathotroph
OTU456	Symbiotroph
OTU4565	Symbiotroph
OTU4567	Symbiotroph
OTU4607	Saprotroph
OTU4641	Symbiotroph
